id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate
6331234,3682059,0,0,0,0,clixsense,,,,,,,0,,1,0
12887369,4646098,0,0,0,0,clixsense,,,,,,,0,,1,0
19304131,516CCC25B66F084441A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1,0
20225558,snowcauldron,0,0,0,0,instagc,,,,,,,0,,1,0
20512953,5794523,20,1,8,0,clixsense,USA,CA,Suisun City,76.232.182.5,,,0,,0.875,300
23816226,6196609,0,0,0,0,clixsense,,,,,,,0,,1,0
31222228,7120177,0,0,0,0,clixsense,,,,,,,0,,1,0
33233133,7712111,0,0,0,0,clixsense,,,,,,,0,,1,0
33453966,7769691,0,0,0,0,clixsense,,,,,,,0,,1,0
34360740,8014009,20,1,8,0,clixsense,TUR,34,Istanbul,78.190.212.10,,,0,,0.875,300
36169865,8635505,0,0,0,0,clixsense,,,,,,,0,,1,0
37344082,9062556,0,0,0,0,clixsense,,,,,,,0,,1,0
37371226,9072239,0,0,0,0,clixsense,,,,,,,0,,1,0
38813782,9534243,0,0,0,0,clixsense,,,,,,,0,,1,0
38880452,9556376,0,0,0,0,clixsense,,,,,,,0,,1,0
39465667,9730732,0,0,0,0,clixsense,,,,,,,0,,1,0
39884489,9866782,0,0,0,0,clixsense,,,,,,,0,,1,0
40272069,10010084,0,0,0,0,clixsense,,,,,,,0,,1,0
40993983,D13C14B20D05ACB0B61ED642EC5D9C7B,0,0,0,0,neodev,,,,,,,0,,1,0
42247067,23489B1C10C32159710AB5506CDE15E0,20,2,8,0,neodev,VEN,25,Caracas,186.167.250.249,,,0,,0.75,300
42364062,1AFCEC4CCA4BA577DC1CF3E1D84EE58C,0,0,0,0,neodev,,,,,,,0,,1,0
43145260,11091412,20,1,8,0,clixsense,MEX,15,Mexico,189.216.74.182,,,0,,0.875,450
43364301,0DAAE11A7917C2EBDC1CF3E1D84EE58C,0,0,0,0,neodev,,,,,,,0,,1,0
43582135,79C16A1A3222C9F2951EB4356D7835FF,0,0,0,0,neodev,,,,,,,0,,1,0
43726491,11578457,20,1,8,0,clixsense,UKR,9,Khmelnitskiy,188.163.33.27,,,0,,0.875,300
44031242,35C67839824FC0E54B7AEA85440565A3,0,0,0,0,neodev,,,,,,,0,,1,0
44031495,12129694,0,0,0,0,clixsense,,,,,,,0,,1,0
44059902,12175701,0,0,0,0,clixsense,,,,,,,0,,1,0
44061136,9C34D0A30352ADC85A177E0B4883CD7E,0,0,0,0,neodev,,,,,,,0,,1,0
44144595,12310724,0,0,0,0,clixsense,,,,,,,0,,1,0
44164525,4AFB389FCA07BEABD484BCC6EFBF03F5,0,0,0,0,neodev,,,,,,,0,,1,0
44205552,E7D35905BDE6BDF7472838DCC118E03B,0,0,0,0,neodev,,,,,,,0,,1,0
44318447,5117C3589C2CE8DEB54F3332206396E9,0,0,0,0,neodev,,,,,,,0,,1,0
44324141,95DFC8FFB45275AF494FC5F3416EDE71,0,0,0,0,neodev,,,,,,,0,,1,0
44538890,Dinika,0,0,0,0,getpaid,,,,,,,0,,1,0
44585733,13074912,0,0,0,0,clixsense,,,,,,,0,,1,0
44589929,215268362,0,0,0,0,timebucks,,,,,,,0,,1,0
44812982,13554142,0,0,0,0,clixsense,,,,,,,0,,1,0
44826677,13576808,0,0,0,0,clixsense,,,,,,,0,,1,0
45033461,14025240,0,0,0,0,clixsense,,,,,,,0,,1,0
45034178,14027094,0,0,0,0,clixsense,,,,,,,0,,1,0
45039462,14036049,0,0,0,0,clixsense,,,,,,,0,,1,0
45048956,4B9FFD01870061D9E0F410E778370DBC,0,0,0,0,neodev,,,,,,,0,,1,0
45099664,79394BDC5F9965493EE02C28A6EE4B57,0,0,0,0,neodev,,,,,,,0,,1,0
45133848,EFF79599673003D7498878444F81137D,0,0,0,0,neodev,,,,,,,0,,1,0
45158697,928,0,0,0,0,feca,,,,,,,0,,1,0
45158734,1000,20,1,8,0,feca,VEN,25,Caracas,186.167.248.27,,,0,,0.875,600
45159663,1606,20,2,8,0,feca,RUS,8,Ufa,46.191.232.1,,,0,,0.75,300
45159697,1623,15,1,7,0,feca,IND,19,Bengaluru,157.45.210.186,,,0,,0.8571,300
45160504,1982,0,0,0,0,feca,,,,,,,0,,1,0
45162633,2878,0,0,0,0,feca,,,,,,,0,,1,0
45162666,14405795,0,0,0,0,clixsense,,,,,,,0,,1,0
45164206,3361,0,0,0,0,feca,,,,,,,0,,1,0
45166197,3850,0,0,0,0,feca,,,,,,,0,,1,0
45166200,3851,0,0,0,0,feca,,,,,,,0,,1,0
45166572,3939,0,0,0,0,feca,,,,,,,0,,1,0
45167845,4192,20,1,8,0,feca,IND,28,Kolkata,42.110.144.131,,,0,,0.875,400
45173767,5714,0,0,0,0,feca,,,,,,,0,,1,0
45175215,6142,0,0,0,0,feca,,,,,,,0,,1,0
45176516,6445,0,0,0,0,feca,,,,,,,0,,1,0
45177850,6786,0,0,0,0,feca,,,,,,,0,,1,0
45182297,8852,18,1,8,0,feca,BIH,2,Prijedor,134.90.134.235,,,0,,0.875,450
45182693,7578,0,0,0,0,feca,,,,,,,0,,1,0
45184909,9896,0,0,0,0,feca,,,,,,,0,,1,0
45186747,14486000,5,0,5,0,clixsense,TUR,14,Bolu,88.228.113.24,,,0,,1,300
45187595,11197,20,1,8,0,feca,VEN,16,Alto De Los Godos,200.84.69.88,,,0,,0.875,300
45188312,11543,20,0,8,0,feca,IND,28,Kolkata,42.110.144.131,,,0,,1,400
45188567,11634,0,0,0,0,feca,,,,,,,0,,1,0
45189351,12121,10,1,6,0,feca,VEN,2,Bergantín,190.205.147.206,,,0,,0.8333,300
45190007,12459,20,1,8,0,feca,VEN,7,Valencia,190.38.162.14,,,0,,0.875,400
45195403,14385,0,0,0,0,feca,,,,,,,0,,1,0
45199494,15428,0,0,0,0,feca,,,,,,,0,,1,0
45200552,15655,0,0,0,0,feca,,,,,,,0,,1,0
45215691,9890350E3480B0E06B390050D52FDAD3,0,0,0,0,neodev,,,,,,,0,,1,0
45218050,20115,0,0,0,0,feca,,,,,,,0,,1,0
45233346,24239,0,0,0,0,feca,,,,,,,0,,1,0
45252614,29135,0,0,0,0,feca,,,,,,,0,,1,0
45256931,30332,0,0,0,0,feca,,,,,,,0,,1,0
45261334,31419,20,1,8,0,feca,IND,9,Ahmedabad,49.34.108.239,,,0,,0.875,300
45268189,7602A212A6D1545C23F77D1F6B68FDEC,13,0,7,0,neodev,VNM,44,Hanoi,118.68.165.38,,,0,,1,600
45271768,58225E279F33C964544E98A5532E411B,20,1,8,0,neodev,VEN,11,Agua Salada,190.39.120.141,,,0,,0.875,300
45277884,35150,20,1,8,0,feca,VEN,4,Cagua,186.92.180.104,,,0,,0.875,300
45285996,CF009537A099D1ACDE1C1F776E860E31,20,1,8,0,neodev,VEN,7,Altamira,201.211.107.109,,,0,,0.875,400
45310301,44013,20,0,8,0,feca,VEN,7,Altamira,201.211.107.109,,,0,,1,600
45311924,44606,0,0,0,0,feca,,,,,,,0,,1,0
45317608,14882312,0,0,0,0,clixsense,,,,,,,0,,1,0
45320326,46569,0,0,0,0,feca,,,,,,,0,,1,0
45353408,54044,20,1,8,0,feca,VNM,44,Hanoi,118.68.165.38,,,0,,0.875,400
45376768,15087584,0,0,0,0,clixsense,,,,,,,0,,1,0
45390456,64647,0,0,0,0,feca,,,,,,,0,,1,0
45394111,35D8BB528E0B9B004871439227C458B1,0,0,0,0,neodev,,,,,,,0,,1,0
45395464,65897,20,1,8,0,feca,VEN,2,Bergantín,190.205.147.206,,,0,,0.875,300
45399692,66812,0,0,0,0,feca,,,,,,,0,,1,0
45403966,67853,0,0,0,0,feca,,,,,,,0,,1,0
45404154,67965,0,0,0,0,feca,,,,,,,0,,1,0
45415377,72873,0,0,0,0,feca,,,,,,,0,,1,0
45425322,75264,0,0,0,0,feca,,,,,,,0,,1,0
45429541,76473,20,1,8,0,feca,EGY,6,Alexandria,102.13.36.254,,,0,,0.875,300
45431751,25B8B6F2BCE971E5274850ECB9537659,5,1,5,0,neodev,VEN,13,Barquisimeto,201.243.3.247,,,0,,0.8,300
45438495,25EDC9107FE632113BE56A74FD3D6324,0,0,0,0,neodev,,,,,,,0,,1,0
45438589,65310265,0,0,0,0,clixsense,,,,,,,0,,1,0
45448546,83277,0,0,0,0,feca,,,,,,,0,,1,0
45449545,83649,0,0,0,0,feca,,,,,,,0,,1,0
45451489,84526,5,1,5,0,feca,VEN,25,Caracas,200.84.51.158,,,0,,0.8,0
45451568,84378,0,0,0,0,feca,,,,,,,0,,1,0
45451591,84584,20,0,8,0,feca,VNM,44,Hanoi,123.16.35.72,,,0,,1,400
45455542,85972,0,0,0,0,feca,,,,,,,0,,1,0
45457542,86580,20,1,8,0,feca,VEN,19,Altagracia,190.201.126.221,,,0,,0.875,300
45464287,88343,0,0,0,0,feca,,,,,,,0,,1,0
45464506,FAA63943C7BECB88BC6DC3AAB9FA15F9,5,2,5,0,neodev,VEN,17,Porlamar,190.77.227.73,,,0,,0.6,0
45485612,95552,0,0,0,0,feca,,,,,,,0,,1,0
45486395,F15BCBB379EC1A1311A1B4E358E036AF,0,0,0,0,neodev,,,,,,,0,,1,0
45486426,95834,0,0,0,0,feca,,,,,,,0,,1,0
45491119,98342,5,2,5,0,feca,VEN,23,Buena Vista,186.94.234.36,,,0,,0.6,0
45493767,99120,5,1,5,0,feca,VEN,6,Puerto Ordaz,186.90.85.72,,,0,,0.8,300
