0,day,fear,god,,,,,,,,,,,,,
1,filipino,doctor,bravest,,,,,,,,,,,,,
2,imanibarbarin,youur,probabl,experienc,lot,differ,emot,base,govern,treat,covidufc,pandemicu,,,,
3,lalahdelia,peac,fear,,,,,,,,,,,,,
4,sar,go,kill,usn,swine,flu,go,kill,usn,mayan,calendar,predict,world,endingnu,,
5,hershaelyork,fear,catch,coronaviru,bit,ill,surviveor,fear,spread,want,sens,ofu,,,,
6,talk,phone,minut,sta,lose,breath,cough,cours,cu,,,,,,,
7,cnn,fear,monger,,,,,,,,,,,,,
8,sophiehrw,im,sure,china,put,pressur,directli,turkish,govern,control,uighur,,,,,
9,allinwithchri,chri,hay,trumpu,disastr,leadership,era,coronavirusnnucthi,fearusinc,day,weu,,,,,
10,bronhilljr,thou,walk,valley,shadow,death,,,,,,,,,,
11,noranoracampo,sometimesuath,peopl,fear,,,,,,,,,,,,
12,lookner,iud,do,thingnliv,life,fear,ridicul,nnquicker,peopl,realiz,quiu,,,,,
13,karaswish,hereu,differ,fear,tim,draper,,,,,,,,,,
14,realbossko,donut,fear,god,,,,,,,,,,,,
15,tell,care,,,,,,,,,,,,,,
16,ctdaw,america,,,,,,,,,,,,,,
17,qdrop,utmost,respect,guy,way,realli,know,viru,fuck,shit,loveu,,,,,
18,lbf,logannnnnnnnnwm,drop,fear,fear,killer,enemi,realli,,,,,,,,
19,rosexlaur,ye,ium,go,romantic,stay,home,pandem,bc,use,escap,,,,,
20,leagueoflegend,fear,new,faceuand,new,trick,,,,,,,,,,
21,yunaiovebot,support,local,asian,restaurantsbusi,buy,quick,takeout,everyday,make,happi,pleu,,,,
22,jrrlturiano,,,,,,,,,,,,,,,
23,darkenigmat,uddudeenough,mockingbird,media,dnc,tri,politic,viru,sheep,go,wake,andu,,,,
24,glockahol,funni,true,guy,call,report,spread,fear,blame,hysteria,media,call,su,,,
25,mollyjongfast,need,,,,,,,,,,,,,,
26,god,herenlet,faith,fear,uufefuddudef,,,,,,,,,,,
27,cindytrimm,pray,ur,strength,day,decre,amp,disturb,ur,peac,speak,peac,urnhomenrelationshipsnmindu,,,
28,mollyjongfast,need,,,,,,,,,,,,,,
29,theactualcc,miss,golden,ticket,fearnnrt,follow,enter,win,xb,end,weekend,,,,,
30,sar,go,kill,usn,swine,flu,go,kill,usn,mayan,calendar,predict,world,endingnu,,
31,jrome,funnier,bc,clip,sped,hear,excit,fear,uddudeuddud,,,,,,,
32,happynoodleusa,udduddthi,heckler,hero,uddud,nnudduddguy,interrupt,news,anchor,groceri,store,park,lot,amp,say,
33,craiggroeschel,world,shaken,,,,,,,,,,,,,
34,theandrewnadeau,whatu,irrat,fear,havenmin,get,clone,amp,hate,himnlik,doe,selfesteem,recov,fromu,,
35,zorofab,fear,grip,societi,way,anticip,,,,,,,,,,
36,franklingraham,ucfear,,,,,,,,,,,,,,
37,darkenigmat,uddudeenough,mockingbird,media,dnc,tri,politic,viru,sheep,go,wake,andu,,,,
38,chrisgnguyen,soundproofsuit,,,,,,,,,,,,,,
39,dcexamin,matter,,,,,,,,,,,,,,
40,ramblingsloa,courag,doesnut,mean,donut,afraidncourag,mean,donut,let,fear,stop,,,,,
41,drdavidbul,exactli,curv,flatten,need,herd,immun,,,,,,,,,
42,kimtonn,rememb,everyday,lose,moment,,,,,,,,,,,
43,aarondmil,hard,imagin,bare,week,ago,walk,outsid,breath,,,,,,,
44,sofierodela,time,,,,,,,,,,,,,,
45,tonto,,,,,,,,,,,,,,,
46,leagueoflegend,fear,new,faceuand,new,trick,,,,,,,,,,
47,steelhorseq,peopl,christian,moral,nd,valu,fear,god,follow,law,god,stand,wou,,,
48,ginnyr,brianschatz,stepmil,choir,leader,angri,wan,na,want,,,,,,,
49,smileflow,ucfearud,danc,practic,,,,,,,,,,,,
50,danniaskini,amaz,testament,south,koreau,rapid,widespread,test,,,,,,,,
51,dorna,obviou,afflict,td,msm,fear,monger,reason,sheepl,dont,tdsu,,,,,
52,darkenigmat,uddudeenough,mockingbird,media,dnc,tri,politic,viru,sheep,go,wake,andu,,,,
53,trueanonpod,mr,joebiden,look,terribl,just,aw,remind,papyru,taken,tomb,held,,,,
54,elohimgadol,beholdisrael,men,heart,fail,fear,,,,,,,,,,
55,astroleek,live,life,fear,,,,,,,,,,,,
56,fear,liar,quit,feed,,,,,,,,,,,,
57,nicolearbour,damn,just,saw,surgeon,tear,say,old,peopl,arenut,one,effect,heu,fear,monger,su
58,sound,like,fun,day,,,,,,,,,,,,
59,wtf,fiddl,,,,,,,,,,,,,,
60,politidop,,,,,,,,,,,,,,,
61,lindaliberti,time,crisi,come,togethernnyet,,,,,,,,,,,
62,tigeomjr,starlordguy,weronlyhumn,makeitgoclick,girlzsukgunz,frankieluvsmen,gunyoudown,exileonmainu,,,,,,,,
63,allinwithchri,chri,hay,trumpu,disastr,leadership,era,coronavirusnnucthi,fearusinc,day,weu,,,,,
64,uddud,,,,,,,,,,,,,,,
65,jamierodr,amaz,udcuddeeudcuddfnnstuck,home,new,covid,pandem,,,,,,,,,
66,urrbanbeauti,biggest,fear,have,kid,daddi,think,thatu,ghetto,ium,sorri,,,,,
67,fear,store,close,week,,,,,,,,,,,,
68,declanganley,thank,fear,old,kick,hope,famili,secur,,,,,,,,
69,roddreh,fear,monger,,,,,,,,,,,,,
70,leagueoflegend,fear,new,faceuand,new,trick,,,,,,,,,,
